"","Sample_1","Sample_2","Sample_3","Sample_4","Sample_5","Sample_6","Sample_7","Sample_8","Sample_9","Sample_10","Sample_11","Sample_12","Sample_13","Sample_14","Sample_15","Sample_16","Sample_17","Sample_18","Sample_19","Sample_20"
"OTU_97.17566",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1758",1,0,0,0,0,0,0,0,4,0,4,1,12,0,2,0,0,0,0,0
"OTU_97.17599",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.17604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.1761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17617",7,0,0,0,0,0,0,2,1,2,0,2,1,1,0,0,0,2,0,0
"OTU_97.17628",11,2,1,0,0,0,0,1,0,0,4,0,1,0,0,0,0,5,1,0
"OTU_97.17630",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17634",0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17636",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17639",1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
"OTU_97.17654",0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,1,7,0,0
"OTU_97.17659",0,1,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1
"OTU_97.17668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17673",0,0,0,0,0,2,0,25,0,1,1,0,0,1,0,0,3,0,0,7
"OTU_97.17680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17699",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17714",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"OTU_97.17719",0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,3
"OTU_97.17726",0,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1
"OTU_97.17729",1,0,0,0,0,1,0,15,0,4,0,1,0,0,0,0,0,0,0,0
"OTU_97.17748",1,0,0,3,0,0,1,23,0,0,0,0,0,1,0,0,2,0,0,4
"OTU_97.17751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.17759",1,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0
"OTU_97.1778",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1779",57,3,0,0,0,1,2,0,13,0,35,0,268,18,72,0,0,1,5,0
"OTU_97.17812",0,1,1,0,0,0,17,0,0,0,0,0,0,1,0,0,0,3,0,2
"OTU_97.17819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17820",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17839",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17850",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17851",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.17859",15,3,0,3,6,1,0,1,6,14,42,0,11,0,0,11,1,10,0,8
"OTU_97.17866",1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
"OTU_97.17878",1,3,13,0,0,0,1,0,0,0,3,3,1,1,0,0,0,0,0,0
"OTU_97.17885",0,0,0,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0
"OTU_97.17886",0,0,0,0,0,0,0,13,0,0,6,5,0,1,0,0,0,3,0,8
"OTU_97.1789",0,0,0,0,0,0,5,0,6,0,0,0,0,3,0,0,10,1,9,0
"OTU_97.17890",0,0,1,1,0,0,0,10,0,1,2,0,0,0,1,0,1,0,0,1
"OTU_97.17891",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.17893",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17901",0,0,0,0,0,2,0,0,2,5,0,6,0,2,0,0,0,0,0,0
"OTU_97.17903",3,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,1,0,0,0
"OTU_97.17911",0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0
"OTU_97.17913",0,1,0,1,0,1,0,0,2,1,0,0,0,1,2,0,0,0,0,0
"OTU_97.17938",1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.17939",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
"OTU_97.1794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.17946",14,0,0,1,13,17,1,21,2,24,8,0,0,0,2,6,0,0,0,0
"OTU_97.17959",2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
"OTU_97.17968",0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
"OTU_97.17973",0,1,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0
"OTU_97.17999",0,0,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,1,0,0
"OTU_97.18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18000",1,1,0,0,14,0,0,0,2,1,0,0,1,0,0,0,1,4,0,7
"OTU_97.18001",0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.18009",0,0,0,14,0,0,0,11,0,0,1,0,0,0,0,0,1,0,0,1
"OTU_97.18010",0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"OTU_97.18012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18018",0,3,1,4,24,0,9,0,0,3,0,6,6,2,4,0,5,7,10,2
"OTU_97.18024",0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"OTU_97.18031",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"OTU_97.18036",1,0,0,0,1,1,0,0,0,0,0,8,3,0,0,0,0,3,2,0
"OTU_97.18038",1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.18045",0,9,0,2,0,3,0,7,0,0,2,1,0,0,0,0,0,3,20,0
"OTU_97.18046",0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.18049",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0
"OTU_97.18050",0,3,0,0,0,0,0,1,0,0,1,0,4,1,0,0,0,1,0,2
"OTU_97.18067",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.18071",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18074",0,0,0,0,1,0,0,0,0,2,1,0,11,0,1,0,0,2,0,0
"OTU_97.18082",0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,2,0,3,0,1
"OTU_97.18083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18089",1,0,0,2,1,15,1,3,5,0,0,2,0,0,0,0,3,6,0,3
"OTU_97.18095",36,0,4,21,0,15,7,196,0,24,5,16,0,0,0,15,0,31,0,9
"OTU_97.18096",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.18097",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.181",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1
"OTU_97.1812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18123",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18129",0,2,0,19,3,279,1,7,15,1113,43,24,40,163,0,1,20,322,3,1
"OTU_97.1813",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18131",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18139",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.18144",0,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.18145",0,4,2,11,3,0,1,3,0,1,0,0,0,0,3,0,0,5,8,0
"OTU_97.1815",0,6,2,1,0,0,1,2,10,0,0,13,1,1,6,1,0,22,0,0
"OTU_97.18153",1,7,0,0,0,0,0,0,12,0,0,10,0,0,0,2,7,11,0,6
"OTU_97.18157",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18162",1,0,0,0,0,0,0,1,1,2,0,2,0,0,9,0,0,0,0,0
"OTU_97.1817",0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0
"OTU_97.18179",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.18196",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18198",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.182",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18200",0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0
"OTU_97.18205",2,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,1
"OTU_97.1821",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18220",0,0,0,4,4,0,0,0,0,4,2,0,3,1,0,2,0,0,0,0
"OTU_97.18222",0,0,0,0,0,0,0,0,0,0,4,5,1,0,0,0,0,0,0,4
"OTU_97.18232",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18233",3,0,0,0,1,0,0,1,1,0,2,0,2,2,0,0,0,4,0,0
"OTU_97.18248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.1825",0,0,1,0,0,1,52,0,4,11,37,0,0,25,0,0,3,15,1,0
"OTU_97.18250",0,0,0,1,0,0,3,1,0,1,1,1,0,0,2,0,0,0,0,0
"OTU_97.1826",8,1,1,2,3,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0
"OTU_97.1827",0,18,0,0,0,0,1,5,9,0,2,0,6,0,0,4,1,12,0,0
"OTU_97.18271",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18274",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18279",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1828",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18281",0,11,0,0,0,20,0,0,53,26,6,3,11,12,0,0,0,46,6,0
"OTU_97.18304",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.18330",0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,1
"OTU_97.18333",7,0,0,10,2,11,0,0,18,0,0,0,1,0,0,1,1,0,0,1
"OTU_97.18334",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,1
"OTU_97.18336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18344",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1835",5,0,0,13,2,0,0,1,1,0,12,0,2,0,0,0,0,4,0,0
"OTU_97.18352",2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,0
"OTU_97.18360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18367",4,0,0,1,0,0,1,12,26,1,0,2,1,3,0,1,0,0,11,0
"OTU_97.18369",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18372",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18373",1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0
"OTU_97.18376",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18379",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18382",3,0,0,0,1,0,0,35,2,2,0,0,7,0,0,2,1,1,0,0
"OTU_97.18390",27,1,0,0,0,3,10,0,0,4,0,0,3,5,0,0,11,0,6,0
"OTU_97.18393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18399",2,4,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,13,0,0
"OTU_97.184",43,0,114,77,184,245,0,0,112,65,46,51,38,6,40,109,1,1,8,14
"OTU_97.18402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1841",0,3,0,0,0,1,0,2,0,0,2,1,3,0,0,2,1,2,1,0
"OTU_97.18414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18415",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18419",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18425",0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,8,1,0,0
"OTU_97.18430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18436",0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"OTU_97.18441",0,0,3,7,17,0,5,0,4,9,0,2,11,1,0,0,0,13,7,15
"OTU_97.18443",0,0,1,0,3,0,1,0,2,0,1,0,0,2,0,3,2,0,0,0
"OTU_97.18459",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18462",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18474",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.18484",0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0
"OTU_97.18491",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"OTU_97.18493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18494",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18500",0,6,6,0,8,0,8,1,15,1,1,0,6,0,1,0,0,0,0,0
"OTU_97.18505",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,2
"OTU_97.18508",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18509",0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"OTU_97.18514",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"OTU_97.18545",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.18549",0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0
"OTU_97.18554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18573",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18581",0,0,0,1,0,0,0,0,2,0,1,1,0,2,0,1,0,5,1,1
"OTU_97.18586",0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.18593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.186",16,0,37,2,8,0,9,456,0,117,3,7,32,0,1,0,83,82,38,32
"OTU_97.18602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18603",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1861",0,1,0,0,0,0,0,0,2,1,0,0,0,1,0,0,1,4,0,0
"OTU_97.1862",0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0
"OTU_97.18624",4,0,0,0,0,0,4,4,0,0,6,6,1,2,0,0,1,27,0,0
"OTU_97.18626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18639",1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"OTU_97.1864",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18640",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18660",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0
"OTU_97.18663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18665",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.1867",0,1,46,16,0,1,0,4,65,0,1,78,7,0,2,0,0,7,21,0
"OTU_97.18672",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"OTU_97.18677",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0
"OTU_97.18680",0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,1,0,0
"OTU_97.18688",2,0,0,5,1,0,5,13,0,2,11,0,1,5,0,0,0,0,5,11
"OTU_97.18689",0,0,0,0,0,0,0,4,2,0,0,1,0,5,5,1,0,0,1,2
"OTU_97.18698",0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"OTU_97.18699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1870",0,52,1,51,9,23,4,145,0,21,68,21,280,17,0,5,1,4,15,1
"OTU_97.18701",1,1,5,0,0,0,0,0,1,0,1,0,11,0,0,0,0,0,11,1
"OTU_97.18703",0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.18706",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"OTU_97.18713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18714",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"OTU_97.18718",0,0,0,0,0,0,0,3,2,0,0,4,0,0,0,1,0,0,0,0
"OTU_97.18729",50,0,0,0,0,8,0,5,1,4,0,1,2,0,4,0,20,0,2,0
"OTU_97.1873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18736",0,295,2,1,150,117,0,1,352,113,1253,0,4,230,98,283,0,0,0,1147
"OTU_97.18748",2,9,0,6,1,0,0,0,0,0,0,6,5,0,0,5,1,0,0,0
"OTU_97.18752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18757",8,17,1,22,18,3,2,1,29,0,0,0,4,8,1,2,0,4,0,4
"OTU_97.1878",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18781",1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0
"OTU_97.18796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"OTU_97.18801",1,0,1,1,0,5,0,0,0,0,0,1,0,0,2,3,0,0,0,4
"OTU_97.18803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18812",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18815",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18816",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
"OTU_97.18824",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.1883",25,0,14,0,0,0,0,31,3,0,2,2,9,0,0,7,0,0,0,1
"OTU_97.18830",0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0
"OTU_97.18834",0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
"OTU_97.18836",4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
"OTU_97.1884",21,19,70,0,98,3,3,257,0,0,11,5,3,10,1,4,0,190,1,22
"OTU_97.18841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18854",2,4,0,3,2,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0
"OTU_97.18859",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18873",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18877",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"OTU_97.18880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18883",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18897",4,0,0,1,0,0,0,1,0,0,4,0,0,0,0,0,0,1,0,3
"OTU_97.18902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1891",3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0
"OTU_97.18914",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.18915",4,1,0,0,0,0,0,5,1,0,1,0,9,0,0,0,1,0,0,0
"OTU_97.18924",0,0,0,0,0,0,0,7,0,0,2,2,0,0,0,0,0,0,0,0
"OTU_97.18927",0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0
"OTU_97.18934",0,0,0,0,2,0,3,0,0,0,1,0,2,0,0,0,2,0,0,0
"OTU_97.18939",13,1,2,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1894",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"OTU_97.18941",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18945",0,30,1,0,7,0,8,40,5,16,35,0,13,0,12,2,0,0,2,0
"OTU_97.18949",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2
"OTU_97.18958",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"OTU_97.18967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18972",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18977",0,0,0,0,0,0,2,3,0,0,0,0,1,0,0,0,0,0,0,0
"OTU_97.18978",0,2,1,0,2,0,0,4,0,0,0,4,0,0,0,1,0,1,0,0
"OTU_97.18983",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18987",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18989",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18992",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.18996",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.18997",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"OTU_97.1900",0,1,0,2,4,0,0,6,10,0,0,1,7,0,0,4,0,0,0,1
"OTU_97.19002",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
"OTU_97.19004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19010",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19016",1,0,0,0,0,11,1,10,0,1,4,0,0,0,0,0,0,0,1,11
"OTU_97.19033",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"OTU_97.19034",0,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0
"OTU_97.1904",21,0,0,2,0,0,0,4,0,0,3,0,0,0,0,0,7,0,1,0
"OTU_97.19047",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1905",11,0,0,2,0,0,2,6,29,5,0,0,1,2,0,2,13,0,5,0
"OTU_97.19056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19060",0,3,0,0,0,0,4,0,11,0,2,0,0,0,0,0,0,0,3,1
"OTU_97.19076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19077",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,3,0,0,0
"OTU_97.19079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19082",132,84,0,120,126,278,0,0,6,63,0,8,706,37,246,8,0,481,48,132
"OTU_97.19087",0,0,0,0,0,1,1,3,1,0,2,0,3,0,0,0,0,2,0,0
"OTU_97.19090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.19099",0,2,0,0,2,0,0,1,0,3,0,0,0,0,0,7,3,10,1,0
"OTU_97.19107",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"OTU_97.19113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OTU_97.1912",22,12,1,219,20,89,0,546,1,62,13,7,113,0,0,11,0,10,19,9
"OTU_97.19121",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
